127.0.0.1, 2018-07-20 08:52:06, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.305371
127.0.0.1, 2018-07-20 08:52:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000471
127.0.0.1, 2018-07-20 08:52:13, GET, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.040994
127.0.0.1, 2018-07-20 08:52:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2018-07-20 08:52:13, GET, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.090286
127.0.0.1, 2018-07-20 08:52:13, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.069703
127.0.0.1, 2018-07-20 08:52:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089472
127.0.0.1, 2018-07-20 08:52:13, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.109576
127.0.0.1, 2018-07-20 08:52:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.022842
127.0.0.1, 2018-07-20 08:52:14, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 1.172003
127.0.0.1, 2018-07-20 08:52:21, POST, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.019896
127.0.0.1, 2018-07-20 08:52:26, GET, /hello, HTTP/1.1, 200, 0.237800
127.0.0.1, 2018-07-20 08:52:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000484
127.0.0.1, 2018-07-20 08:52:49, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.134245
127.0.0.1, 2018-07-20 08:52:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000700
127.0.0.1, 2018-07-20 08:54:29, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.055268
127.0.0.1, 2018-07-20 08:54:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000757
127.0.0.1, 2018-07-20 08:54:30, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.091149
127.0.0.1, 2018-07-20 08:54:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108919
127.0.0.1, 2018-07-20 08:54:30, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.215564
127.0.0.1, 2018-07-20 08:54:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.296145
127.0.0.1, 2018-07-20 08:54:30, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.243303
127.0.0.1, 2018-07-20 08:54:31, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 1.275265
127.0.0.1, 2018-07-20 08:55:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037605
127.0.0.1, 2018-07-20 08:55:31, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.177109
127.0.0.1, 2018-07-20 08:56:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073922
127.0.0.1, 2018-07-20 08:56:31, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.171317
127.0.0.1, 2018-07-20 08:56:36, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.354150
127.0.0.1, 2018-07-20 08:56:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000447
127.0.0.1, 2018-07-20 08:56:41, GET, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.044224
127.0.0.1, 2018-07-20 08:56:41, GET, /favicon.ico, HTTP/1.1, 400, 0.004470
127.0.0.1, 2018-07-20 08:56:41, GET, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.084157
127.0.0.1, 2018-07-20 08:56:41, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.072514
127.0.0.1, 2018-07-20 08:56:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112294
127.0.0.1, 2018-07-20 08:56:42, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.057936
127.0.0.1, 2018-07-20 08:56:42, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.329536
127.0.0.1, 2018-07-20 08:56:43, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 1.281874
127.0.0.1, 2018-07-20 08:57:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083402
127.0.0.1, 2018-07-20 08:57:43, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.240109
127.0.0.1, 2018-07-20 08:58:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039766
127.0.0.1, 2018-07-20 08:58:42, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.160062
127.0.0.1, 2018-07-20 08:59:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051431
127.0.0.1, 2018-07-20 08:59:42, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.170903
127.0.0.1, 2018-07-20 08:59:42, POST, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.031354
127.0.0.1, 2018-07-20 08:59:45, GET, /hello, HTTP/1.1, 200, 0.314132
127.0.0.1, 2018-07-20 08:59:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001460
127.0.0.1, 2018-07-20 08:59:48, GET, /admin/default/design.html/hello, HTTP/1.1, 200, 0.269568
127.0.0.1, 2018-07-20 08:59:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000484
127.0.0.1, 2018-07-20 08:59:53, GET, /hello, HTTP/1.1, 200, 2.084611
127.0.0.1, 2018-07-20 08:59:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000801
127.0.0.1, 2018-07-20 09:00:35, POST, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-07-20 09:00:36, GET, /hello, HTTP/1.1, 200, 0.082709
127.0.0.1, 2018-07-20 09:00:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000897
127.0.0.1, 2018-07-20 09:00:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032206
127.0.0.1, 2018-07-20 09:00:42, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.152764
127.0.0.1, 2018-07-20 09:01:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050352
127.0.0.1, 2018-07-20 09:01:42, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.164553
127.0.0.1, 2018-07-20 09:02:16, POST, /admin/default/edit/hello/views/default/index.html, HTTP/1.1, 200, 0.039127
127.0.0.1, 2018-07-20 09:02:19, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.308730
127.0.0.1, 2018-07-20 09:02:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000569
127.0.0.1, 2018-07-20 09:02:21, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.044735
127.0.0.1, 2018-07-20 09:02:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000627
127.0.0.1, 2018-07-20 09:02:22, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.110756
127.0.0.1, 2018-07-20 09:02:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.139537
127.0.0.1, 2018-07-20 09:02:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.160417
127.0.0.1, 2018-07-20 09:02:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.290546
127.0.0.1, 2018-07-20 09:02:22, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.321373
127.0.0.1, 2018-07-20 09:02:22, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.406595
127.0.0.1, 2018-07-20 09:02:52, POST, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.040542
127.0.0.1, 2018-07-20 09:03:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092998
127.0.0.1, 2018-07-20 09:03:22, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.207170
127.0.0.1, 2018-07-20 09:03:30, POST, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.019670
